Term,pmi,freq_pos,freq_neg,VAD original,VAD extended,valence,arousal,dominance,frequency
firing,2.26,87,131,1,1,0.188,0.931,0.803,218
laboratory,2.26,15,23,1,1,0.571,0.49,0.537,38
nourishment,2.249,28,43,1,1,0.786,0.29,0.631,71
bourgeois,2.246,22,34,1,1,0.439,0.593,0.682,56
maturity,2.241,190,291,1,1,0.827,0.4,0.806,481
reflective,2.236,79,122,1,1,0.656,0.292,0.735,201
eloquence,2.235,12,19,1,1,0.729,0.49,0.804,31
mindfulness,2.233,71,110,1,1,0.729,0.635,0.745,181
outdoors,2.23,131,203,1,1,0.781,0.444,0.453,334
ascendant,2.23,10,16,1,1,0.656,0.673,0.821,26
originality,2.229,30,47,1,1,0.898,0.5,0.824,77
worldly,2.223,78,122,1,1,0.438,0.612,0.295,200
sanctuary,2.222,318,496,1,1,0.863,0.226,0.575,814
quiver,2.221,24,38,1,1,0.32,0.452,0.335,62
cabin,2.219,299,468,1,1,0.643,0.292,0.43,767
require,2.219,405,634,1,1,0.398,0.439,0.56,1039
effectiveness,2.218,22,35,1,1,0.64,0.654,0.812,57
metamorphosis,2.214,20,32,1,1,0.541,0.571,0.613,52
conduit,2.214,13,21,1,1,0.47,0.302,0.413,34
awaken,2.212,107,169,1,1,0.729,0.412,0.611,276
interrupted,2.209,113,179,1,1,0.281,0.559,0.333,292
enjoying,2.208,2769,4378,1,1,0.908,0.759,0.759,7147
considerable,2.203,33,53,1,1,0.653,0.314,0.683,86
cleansing,2.201,48,77,1,1,0.729,0.298,0.472,125
involuntary,2.198,51,82,1,1,0.354,0.49,0.231,133
destitute,2.197,91,146,1,1,0.13,0.451,0.222,237
buddhist,2.196,29,47,1,1,0.57,0.182,0.481,76
imperial,2.196,44,71,1,1,0.669,0.646,0.922,115
interior,2.19,86,139,1,1,0.618,0.157,0.462,225
magnitude,2.186,51,83,1,1,0.608,0.613,0.774,134
wildlife,2.184,112,182,1,1,0.656,0.53,0.561,294
transcendent,2.18,15,25,1,1,0.667,0.6,0.824,40
buddhism,2.176,18,30,1,1,0.51,0.115,0.673,48
shuddering,2.173,10,17,1,1,0.302,0.802,0.638,27
diversion,2.173,32,53,1,1,0.74,0.821,0.714,85
citadel,2.169,13,22,1,1,0.585,0.464,0.602,35
independence,2.169,705,1159,1,1,0.896,0.663,0.911,1864
namaste,2.165,19,32,1,1,0.719,0.255,0.464,51
conducive,2.165,19,32,1,1,0.775,0.479,0.679,51
cascade,2.165,19,32,1,1,0.735,0.509,0.395,51
glacier,2.165,19,32,1,1,0.573,0.396,0.554,51
intuition,2.16,81,135,1,1,0.857,0.508,0.602,216
confinement,2.157,174,290,1,1,0.333,0.656,0.52,464
patriarch,2.155,14,24,1,1,0.592,0.448,0.898,38
mastery,2.15,36,61,1,1,0.755,0.648,0.873,97
splendid,2.149,67,113,1,1,0.896,0.74,0.81,180
pristine,2.149,30,51,1,1,0.65,0.363,0.625,81
conditional,2.146,21,36,1,1,0.521,0.343,0.556,57
hermit,2.145,451,760,1,1,0.271,0.337,0.351,1211
focal,2.14,12,21,1,1,0.367,0.365,0.482,33
confine,2.14,25,43,1,1,0.327,0.551,0.538,68
rout,2.135,9,16,1,1,0.163,0.625,0.233,25
sameness,2.135,9,16,1,1,0.531,0.33,0.484,25
ponder,2.128,124,213,1,1,0.74,0.38,0.689,337
adaptation,2.127,97,167,1,1,0.663,0.365,0.609,264
opus,2.127,13,23,1,1,0.458,0.368,0.391,36
midst,2.127,612,1050,1,1,0.324,0.275,0.296,1662
intuitive,2.124,31,54,1,1,0.771,0.573,0.69,85
simile,2.122,17,30,1,1,0.615,0.363,0.464,47
disrupt,2.122,64,111,1,1,0.265,0.64,0.349,175
seminal,2.119,10,18,1,1,0.459,0.413,0.566,28
coastline,2.119,10,18,1,1,0.745,0.282,0.441,28
radiant,2.118,58,101,1,1,0.888,0.717,0.791,159
untamed,2.116,14,25,1,1,0.429,0.778,0.709,39
measured,2.113,83,145,1,1,0.542,0.265,0.578,228
brood,2.111,26,46,1,1,0.633,0.519,0.434,72
discipline,2.11,201,351,1,1,0.615,0.471,0.806,552
spinach,2.106,23,41,1,1,0.583,0.2,0.368,64
finite,2.106,23,41,1,1,0.384,0.347,0.293,64
snowfall,2.106,15,27,1,1,0.675,0.28,0.455,42
inwards,2.099,20,36,1,1,0.49,0.385,0.438,56
shoreline,2.098,16,29,1,1,0.677,0.296,0.529,45
renounce,2.095,12,22,1,1,0.156,0.49,0.552,34
strenuous,2.095,12,22,1,1,0.104,0.66,0.481,34
delightful,2.093,131,233,1,1,0.918,0.735,0.644,364
archaic,2.093,21,38,1,1,0.271,0.327,0.332,59
woodland,2.092,30,54,1,1,0.776,0.306,0.48,84
obedience,2.09,35,63,1,1,0.765,0.287,0.536,98
bustling,2.089,49,88,1,1,0.49,0.85,0.528,137
delighted,2.086,255,456,1,1,0.938,0.664,0.685,711
baptism,2.086,13,24,1,1,0.844,0.384,0.566,37
moderation,2.085,32,58,1,1,0.531,0.24,0.453,90
ambience,2.084,37,67,1,1,0.735,0.356,0.426,104
motionless,2.082,28,51,1,1,0.323,0.21,0.246,79
cultivate,2.08,107,193,1,1,0.708,0.41,0.598,300
refreshed,2.08,53,96,1,1,0.91,0.377,0.48,149
provincial,2.078,14,26,1,1,0.645,0.341,0.481,40
silvery,2.078,9,17,1,1,0.543,0.46,0.517,26
nobility,2.078,9,17,1,1,0.844,0.347,0.736,26
rye,2.073,46,84,1,1,0.49,0.298,0.411,130
reflect,2.066,676,1232,1,1,0.698,0.342,0.472,1908
acres,2.066,55,101,1,1,0.51,0.363,0.5,156
reservoir,2.065,16,30,1,1,0.531,0.276,0.462,46
analytical,2.065,16,30,1,1,0.625,0.324,0.8,46
endurance,2.062,40,74,1,1,0.592,0.745,0.76,114
canoe,2.056,24,45,1,1,0.542,0.3,0.418,69
priestess,2.055,18,34,1,1,0.531,0.39,0.691,52
disrupting,2.055,18,34,1,1,0.186,0.557,0.339,52
duration,2.054,50,93,1,1,0.656,0.37,0.536,143
timber,2.053,12,23,1,1,0.332,0.202,0.386,35
quaint,2.05,26,49,1,1,0.625,0.463,0.474,75
decisive,2.047,13,25,1,1,0.74,0.509,0.935,38
circular,2.047,27,51,1,1,0.562,0.342,0.417,78
needful,2.047,13,25,1,1,0.582,0.46,0.614,38
civilization,2.037,128,241,1,1,0.823,0.452,0.839,369
necessity,2.035,172,324,1,1,0.567,0.471,0.588,496
enigmatic,2.03,17,33,1,1,0.469,0.589,0.679,50
devotional,2.03,17,33,1,1,0.74,0.394,0.655,50
intentional,2.029,99,188,1,1,0.65,0.615,0.75,287
alchemy,2.024,19,37,1,1,0.541,0.583,0.693,56
respite,2.02,74,142,1,1,0.6,0.373,0.42,216
nakedness,2.019,10,20,1,1,0.48,0.76,0.35,30
abstraction,2.019,10,20,1,1,0.469,0.439,0.525,30
commemorate,2.019,10,20,1,1,0.812,0.602,0.636,30
interrupt,2.019,99,190,1,1,0.21,0.635,0.509,289
recollection,2.015,23,45,1,1,0.722,0.337,0.566,68
cathedral,2.014,48,93,1,1,0.598,0.33,0.643,141
balance,2.01,665,1282,1,1,0.684,0.265,0.735,1947
contemplate,2.01,150,290,1,1,0.74,0.347,0.642,440
unwind,2.01,68,132,1,1,0.837,0.181,0.394,200
faculties,2.009,13,26,1,1,0.643,0.431,0.76,39
illumination,2.004,15,30,1,1,0.76,0.588,0.537,45
cacophony,2.004,15,30,1,1,0.408,0.562,0.44,45
fertile,2.004,31,61,1,1,0.888,0.408,0.704,92
tonic,2.002,34,67,1,1,0.541,0.36,0.5,101
instructed,2.001,17,34,1,1,0.74,0.388,0.722,51
oneness,2.001,53,104,1,1,0.745,0.272,0.72,157
sapiens,2.001,17,34,1,1,0.48,0.453,0.584,51
practiced,2,55,108,1,1,0.612,0.605,0.58,163
meandering,1.999,18,36,1,1,0.427,0.644,0.539,54
toil,1.993,24,48,1,1,0.558,0.51,0.583,72
affinity,1.99,28,56,1,1,0.8,0.5,0.537,84
enjoy,1.99,9727,19121,1,1,0.959,0.725,0.75,28848
thrive,1.989,337,664,1,1,0.948,0.529,0.772,1001
entangled,1.986,36,72,1,1,0.319,0.578,0.357,108
cleanse,1.981,58,116,1,1,0.625,0.31,0.66,174
getaway,1.98,64,128,1,1,0.5,0.76,0.368,192
nature,1.979,2056,4087,1,1,0.857,0.184,0.643,6143
indulge,1.976,141,282,1,1,0.833,0.716,0.669,423
amazement,1.973,10,21,1,1,0.75,0.8,0.639,31
stanza,1.973,11,23,1,1,0.612,0.343,0.297,34
flee,1.973,92,185,1,1,0.292,0.796,0.232,277
verdant,1.973,8,17,1,1,0.6,0.26,0.389,25
medicinal,1.973,8,17,1,1,0.667,0.417,0.614,25
sanctum,1.973,21,43,1,1,0.521,0.438,0.657,64
twelfth,1.973,10,21,1,1,0.521,0.292,0.527,31
reserves,1.973,13,27,1,1,0.653,0.363,0.52,40
diligence,1.973,13,27,1,1,0.688,0.423,0.7,40
satin,1.973,27,55,1,1,0.519,0.396,0.481,82
woodlands,1.973,9,19,1,1,0.656,0.34,0.473,28
piety,1.973,9,19,1,1,0.76,0.34,0.482,28
scenery,1.97,166,334,1,1,0.745,0.253,0.592,500
reflection,1.958,825,1676,1,1,0.71,0.5,0.528,2501
dune,1.955,27,56,1,1,0.459,0.173,0.414,83
enlightenment,1.955,83,170,1,1,0.837,0.549,0.619,253
penetrate,1.955,27,56,1,1,0.287,0.877,0.732,83
seductive,1.954,51,105,1,1,0.771,0.821,0.667,156
fruits,1.953,100,205,1,1,0.865,0.357,0.259,305
aversion,1.953,24,50,1,1,0.074,0.663,0.525,74
trout,1.951,22,46,1,1,0.516,0.387,0.298,68
temperament,1.949,20,42,1,1,0.42,0.625,0.703,62
reverence,1.947,18,38,1,1,0.643,0.347,0.516,56
tumult,1.945,17,36,1,1,0.271,0.64,0.636,53
preserving,1.945,17,36,1,1,0.765,0.462,0.63,53
essential,1.943,327,675,1,1,0.812,0.405,0.759,1002
deliberate,1.942,47,98,1,1,0.551,0.654,0.682,145
fullness,1.94,44,92,1,1,0.868,0.402,0.811,136
spirituality,1.939,101,210,1,1,0.865,0.281,0.667,311
recesses,1.938,13,28,1,1,0.367,0.47,0.379,41
zen,1.937,81,169,1,1,0.492,0.21,0.432,250
ephemeral,1.936,26,55,1,1,0.5,0.312,0.377,81
delicious,1.936,281,584,1,1,0.927,0.65,0.589,865
interrupting,1.936,39,82,1,1,0.146,0.593,0.509,121
rhythmic,1.935,12,26,1,1,0.714,0.642,0.664,38
massacre,1.934,37,78,1,1,0.031,0.887,0.64,115
creative,1.933,848,1766,1,1,0.917,0.518,0.788,2614
relinquish,1.932,11,24,1,1,0.265,0.606,0.286,35
elevation,1.93,45,95,1,1,0.76,0.759,0.711,140
rustle,1.928,10,22,1,1,0.333,0.538,0.394,32
pope,1.925,71,150,1,1,0.6,0.375,0.636,221
incense,1.924,19,41,1,1,0.698,0.275,0.328,60
elixir,1.924,9,20,1,1,0.708,0.587,0.604,29
soaking,1.923,68,144,1,1,0.438,0.324,0.375,212
submerge,1.919,8,18,1,1,0.517,0.643,0.456,26
inconceivable,1.919,8,18,1,1,0.198,0.552,0.561,26
paddle,1.915,16,35,1,1,0.561,0.375,0.393,51
terrain,1.914,32,69,1,1,0.54,0.3,0.472,101
glove,1.913,105,224,1,1,0.5,0.23,0.382,329
revelations,1.912,23,50,1,1,0.729,0.655,0.6,73
gratitude,1.912,286,609,1,1,0.885,0.441,0.61,895
utmost,1.909,45,97,1,1,0.719,0.74,0.858,142
enchanted,1.909,67,144,1,1,0.917,0.633,0.687,211
emblem,1.908,29,63,1,1,0.64,0.33,0.754,92
prayer,1.907,879,1879,1,1,0.745,0.217,0.604,2758
chaos,1.904,444,952,1,1,0.016,0.923,0.373,1396
alignment,1.902,33,72,1,1,0.643,0.412,0.683,105
imperative,1.9,39,85,1,1,0.625,0.647,0.708,124
alpine,1.899,12,27,1,1,0.594,0.337,0.474,39
delude,1.897,56,122,1,1,0.143,0.627,0.353,178
breathtaking,1.894,72,157,1,1,0.936,0.792,0.921,229
individuality,1.894,78,170,1,1,0.612,0.469,0.527,248
noise,1.893,929,2013,1,1,0.26,0.883,0.388,2942
concentration,1.893,77,168,1,1,0.735,0.5,0.722,245
zeal,1.893,11,25,1,1,0.367,0.741,0.616,36
